type_city,AUC,Accuracy,Precision,Recall
big,0.6299985780426006,0.8442480618474437,0.66987781150333,0.6299985780426006
small,0.7149316144908088,0.9356917459005099,0.7058947110409655,0.714931614490809
all,0.7114748774967965,0.9123762675861906,0.7046555032138173,0.7114748774967965
